,inflation_mm_m,usd_pln,wig,wig_6m,best_wig_dynamics_y,wig_dynamics_y
2004/Q4,100.1,2.9904,26636.19,0.11218982417872403,0.33655714274451426,0.33655714274451426
2005/Q1,100.1,3.1518,27268.07,0.07916152673181662,0.47499694697864575,0.47499694697864575
2005/Q2,99.8,3.3461,28332.05,0.06366751401007428,0.4345795662509421,0.4345795662509421
2005/Q3,100.4,3.2575,33801.17,0.23958791362938406,0.3032844721055515,0.3032844721055515
2005/Q4,99.8,3.2613,35600.79,0.25655538515568066,0.41603093639214184,0.41603093639214184
2006/Q1,99.9,3.2491,40220.32,0.18990910669660258,0.43023650731769414,0.43023650731769414
2006/Q2,99.7,3.1816,40644.58,0.141676350440538,0.6257441951669817,0.6257441951669817
2006/Q3,100.2,3.1425,44052.54,0.09528069393779068,0.49997457581333565,0.370384545363332
2006/Q4,99.8,2.9105,50411.82,0.24030854790478823,0.3107578738478397,0.10387881254832698
2007/Q1,100.5,2.9058,57524.57,0.30581732631080977,0.14868637870739412,-0.16537785506262803
2007/Q2,100.0,2.7989,66077.69,0.3107578738478397,-0.08639481797865518,-0.37730480590347515
2007/Q3,100.8,2.6647,60368.92,0.04944582810440823,-0.07819222209043987,-0.38101708627552056
2007/Q4,100.3,2.435,55648.54,-0.15783163727424493,-0.13724097703192217,-0.5107034254627345
2008/Q1,100.4,2.2305,48011.28,-0.20470202216637304,-0.1429876479027428,-0.49936514918994035
2008/Q2,100.2,2.1194,41146.26,-0.2606048604329961,-0.09184139700667814,-0.2607097218556438
2008/Q3,100.3,2.3708,37367.33,-0.221696859571334,0.005699898815355498,0.005699898815355498
2008/Q4,99.9,2.9618,27228.64,-0.3382475102232864,0.46852688933417164,0.46852688933417164
2009/Q1,100.7,3.5416,24036.12,-0.35676110656019583,0.765946833349143,0.765946833349143
2009/Q2,100.2,3.1733,30419.03,0.11717037648593538,0.39539327848389655,0.2949942848276228
2009/Q3,100.0,2.8852,37580.32,0.5634936087854446,0.2037342949714106,0.2037342949714106
2009/Q4,100.0,2.8503,39985.99,0.3145057551144793,0.18766372922115987,0.18766372922115987
2010/Q1,100.3,2.872,42446.51,0.12948772123281554,0.14802913125248693,0.14802913125248693
2010/Q2,100.3,3.3946,39392.47,-0.014843198830390265,0.2370341336808786,0.22902575035279582
2010/Q3,100.6,2.925,45236.72,0.06573473296155559,0.07721846323075592,-0.1540334931445074
2010/Q4,100.4,2.9641,47489.91,0.20555806731591095,0.026109125075200145,-0.20834888926932058
2011/Q1,100.9,2.8229,48729.83,0.07721846323075592,-0.006473858004429754,-0.15314377251059563
2011/Q2,99.6,2.7517,48414.36,0.01946624030241365,-0.14762562181964187,-0.1570500983592472
2011/Q3,100.1,3.2574,38268.75,-0.21467507684717968,0.14296416789155636,0.14296416789155636
2011/Q4,100.4,3.4174,37595.44,-0.22346510415504817,0.26240283396071423,0.26240283396071423
2012/Q1,100.5,3.1191,41267.16,0.0783513963743264,0.15008132374507943,0.09403142838033914
2012/Q2,100.2,3.3885,40810.88,0.08552739374775226,0.16293963766525005,0.09646716757884181
2012/Q3,100.1,3.178,43739.81,0.05991810437161157,0.15002442854690043,0.15002442854690043
2012/Q4,100.1,3.0996,47460.59,0.16293963766525005,0.08056494872904033,0.08056494872904033
2013/Q1,100.2,3.259,45147.57,0.032184867744052895,0.16005069597322738,0.16005069597322738
2013/Q2,100.0,3.3175,44747.79,-0.057159002869538615,0.17041467299278915,0.16061463594068
2013/Q3,100.1,3.1227,50301.85,0.11416516990836935,0.09098532161341985,0.09098532161341985
2013/Q4,100.1,3.012,51284.25,0.14607335915360287,0.07008643004431188,0.0025705747866060585
2014/Q1,100.1,3.0344,52373.47,0.04118377355902422,0.047831659807914206,0.03280000351322909
2014/Q2,100.0,3.0473,51934.94,0.01268791100581567,0.05667937615793913,0.026842045066384997
2014/Q3,100.0,3.2973,54878.58,0.047831659807914206,-0.014345487802344776,-0.09209403741860676
2014/Q4,99.7,3.5072,51416.08,-0.009990576671504782,0.0520311933542969,-0.09624809981624434
2015/Q1,100.2,3.8125,54091.32,-0.014345487802344776,-0.014093573608482774,-0.09380377480157633
2015/Q2,100.0,3.7645,53328.98,0.03720431429233814,-0.06571267629720288,-0.16089657068258204
2015/Q3,99.7,3.7754,49824.59,-0.07888012346528063,-0.016201638588496124,-0.05498590153978175
2015/Q4,99.8,3.9011,46467.38,-0.1286655023216271,0.11377120896422398,0.11377120896422398
2016/Q1,100.1,3.759,49017.35,-0.016201638588496124,0.1814451413632112,0.1814451413632112
2016/Q2,100.2,3.9803,44748.53,-0.036990465139200845,0.3635835635271148,0.3635835635271148
2016/Q3,100.0,3.8558,47084.94,-0.03942297982245055,0.3653981506613367,0.3653981506613367
2016/Q4,100.7,4.1793,51754.03,0.15655262865618155,0.2422161134118445,0.2317147089801509
2017/Q1,99.9,3.9455,57911.31,0.229932755568978,0.11014048896493629,0.008048686862721645
2017/Q2,99.8,3.7062,61018.36,0.17900692950867791,0.053612224255125865,-0.08299010330661129
2017/Q3,100.4,3.6519,64289.69,0.11014048896493629,-0.00845376607042288,-0.08267157611119294
2017/Q4,100.2,3.4813,63746.2,0.04470523298233509,-0.07485057932865011,-0.09499703511738734
2018/Q1,99.9,3.4139,58377.42,-0.0919629570464565,0.022108034236525024,0.022108034236525024
2018/Q2,100.1,3.744,55954.44,-0.12223097219912708,0.07565065435379208,0.07565065435379208
2018/Q3,100.2,3.6754,58974.76,0.010232380944550201,0.020562525392218606,-0.02805369619138762
2018/Q4,100.0,3.7597,57690.5,0.031026313550810224,0.04328147615291946,0.0024679973305829794
2019/Q1,100.3,3.8365,59668.03,0.011755367889585252,0.00870482903491202,-0.30239661004393803
2019/Q2,100.3,3.7336,60187.43,0.04328147615291946,-0.03912029471934593,-0.17641989365553576
2019/Q3,100.0,4.0,57320.3,-0.03934653113233328,0.008942381669321244,-0.13797502804416592
2019/Q4,100.8,3.7977,57832.88,-0.03912029471934593,-0.013954691518043039,-0.013954691518043039
2020/Q1,100.2,4.1466,41624.62,-0.27382410768959686,0.3953640898103093,0.3953640898103093
2020/Q2,100.6,3.9806,49569.17,-0.1428894774045491,0.33282865135728534,0.33282865135728534
2020/Q3,100.2,3.8658,49411.53,0.18707462074128234,0.4235717857755063,0.4235717857755063
2020/Q4,100.1,3.7584,57025.84,0.1504295916191455,0.2334909928551689,0.21517298123096476
2021/Q1,101.0,3.9676,58081.5,0.17546451202786073,0.211071683754724,0.11740158225941136
2021/Q2,100.1,3.8035,66067.21,0.15854865092736925,0.06468640040952227,-0.18910727424391022
2021/Q3,100.7,3.9925,70340.86,0.211071683754724,-0.014850543482124128,-0.3464589429244965
2021/Q4,100.9,4.06,69296.26,0.04887522872541444,-0.06343632398054375,-0.1707679462066206
