,core_capital,supplementary_capital,price,number_of_shares,capitalization,core_capital_per_share,supplementary_capital_per_share
06N,13922.0,20056.0,3.7949999910213887,13921975,52833895,0.0010000017957222304,0.0014406002021983232
OCTAVA,4279.0,22113.0,1.0099999887815994,42786848,43214716,0.00010000736674970776,0.0005168176912681205
11-BIT-STUDIOS,238.0,149153.0,673.0,2380144,1601836912,9.999394994588563e-05,0.06266553620285159
ATAL,193573.0,721400.0,42.4,38714610,1641499464,0.004999998708497903,0.018633792255688484
3RG,7564.0,3125.0,0.4319999978846578,75637880,32675564,0.00010000280282842407,4.13152774773698e-05
AAT,15270.0,186208.0,1.7599999869022902,15269845,26874927,0.001000010150725171,0.012194491823590874
ABE,16188.0,146943.0,50.5,16187644,817476022,0.0010000219920823562,0.009077479094548905
ASSECO-BUSINESS-SOLUTIONS,167091.0,62543.0,39.60000000598476,33418193,1323360443,0.005000001047333709,0.0018715254891250404
ACG,2518.0,111731.0,32.90000002978057,10073683,331424171,0.00024995823275360165,0.011091375418503838
ASSECO-POLAND,83000.0,4180100.0,75.09999999638555,83000303,6233322755,0.0009999963494109173,0.05036246674906717
ACTION,2004.0,77207.0,17.68,20037000,354254160,0.0001000149723012427,0.003853221540150721
ADIUVO-INVESTMENT,1318.0,116911.0,0.8359999805682954,13174346,11013753,0.00010004291674136994,0.008874140697382625
AGORA,46581.0,147192.0,5.700000006440417,46580831,265510737,0.0010000036281018689,0.0031599264512906606
AGROTON,2049.0,274414.0,3.3,21670000,71511000,9.455468389478542e-05,0.012663313336409783
ALE,10569.0,8282469.0,26.159999999545843,1056904853,27648630954,9.999954082905511e-06,0.007836532282438104
ALG,6000.0,40084.0,1.4699999939999389,59999388,88199100,0.00010000102001040411,0.000668073481016173
ALTUS,4092.0,11111.0,1.77,40920000,72428400,0.0001,0.00027152981427174975
ALL,3707.0,38412.0,20.400000032374237,12355504,252052282,0.000300028230333623,0.0031088978644659092
AMBRA,25207.0,67718.0,23.400000015868834,25206644,589835470,0.0010000141232605181,0.0026865139206948773
AMICA,15600.0,1061200.0,77.90000003858385,7775273,605693767,0.0020063604197563226,0.13648395368239805
ALUMETAL,1563.0,17844.0,81.8999999808114,15634287,1280448105,9.997257949786901e-05,0.0011413376254382436
ANR,867.0,152115.0,29.949999985709432,17494055,523946947,4.955969327865952e-05,0.008695239611399416
