,capitalization,core_capital,number_of_shares,price,supplementary_capital,core_capital_per_share,supplementary_capital_per_share,small_pred,large_pred
REINHOLD,15213621,285,143524724,"0,106000001783665",41567,"0,00000199","0,0002896156065766","0,49425378","0,39197513"
CCC,1959884960,5500,54868000,"35,72",1148000,"0,0001002405773857","0,0209229423343296","0,36037263","0,4891143"
PRIMETECH,12487866,15610,15609833,"0,799999974375126",0,"0,0010000106983847",0,"0,4141255","0,38615367"
MDI,56482920,161380,46108506,"1,2250000032532",9651,"0,0035000049665456","0,0002093106204742","0,40836298","0,33891404"
KERNEL,1553737443,9768,84031230,"18,4900000035701",2202564,"0,0001162424969859","0,0262112550298264","0,22759074","0,51501215"
ROKITA,2874757840,19853,19853300,"144,8",50113,"0,000999984889162","0,0025241647484297","0,3462065","0,39580825"
AIRWAY-MEDIX,19044413,19862,58418444,"0,326000004382178",1174,"0,0003399953617388","0,0000201","0,33774573","0,38671845"
MILKILAND,24375000,14563,31250000,"0,78",226896,"0,000466016","0,007260672","0,3280251","0,3913064"
PRIMA-MODA,2304000,1600,3200000,"0,72",9578,"0,0005","0,002993125","0,40332744","0,31343433"
BRASTER,17453679,2756,29383298,"0,593999999591605",111474,"0,0000938","0,0037937878858935","0,35945952","0,3544378"
REDAN,6856175,35709,35709244,"0,192000004256601",0,"0,0009999931670354",0,"0,41354322","0,28155547"
CTS,183338000,44474,31610000,"5,8",98802,"0,0014069598228408","0,0031256564378361","0,31822774","0,3733256"
TEN,861841585,733,7334822,"117,5",496,"0,0000999","0,0000676","0,37509158","0,3092858"
EAT,4026623716,103178,219554183,"18,339999998998",780868,"0,0004699432212594","0,0035566072544379","0,28414702","0,38232946"
3RG,32675564,7564,75637880,"0,431999997884658",3125,"0,0001000028028284","0,0000413","0,32508034","0,3339022"
DEBICA,858531050,110422,13802750,"62,2",327776,"0,008","0,0237471518356849","0,30282468","0,3502898"
AMPLI,3741480,3282,3282000,"1,14",0,"0,001",0,"0,30005768","0,34967065"
BOGDANKA,1286393974,301158,34013590,"37,82000000588",702549,"0,0088540492197383","0,0206549499773472","0,33232602","0,31454143"
MOV,43485931,2573,2573132,"16,9000000777263",3421,"0,0009999487006496","0,001329508163592","0,34351692","0,29699245"
ATENDE,97036728,7269,36343344,"2,66999998679263",14762,"0,0002000091130854","0,0004061816656166","0,31589475","0,315212"
ENERGOINSTAL,10872000,1800,18000000,"0,604",111677,"0,0001","0,0062042777777777","0,32215467","0,3073898"
YOLO,3276423,8879,8879194,"0,369000046625854",7446,"0,00099997815117","0,0008385896287433","0,21417324","0,41363797"
